,Year,Period,State,State ANSI,Data Item,Value
184,2017,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.21
134,2018,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.42
90,2019,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.47
49,2020,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.8
8,2021,MARKETING YEAR,IDAHO,16,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.9
1011,1997,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.53
970,1998,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.04
929,1999,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.91
888,2000,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.91
847,2001,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.04
806,2002,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.35
765,2003,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.42
724,2004,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.14
683,2005,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.08
642,2006,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.07
601,2007,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.09
560,2008,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.01
519,2009,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.53
478,2010,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.24
437,2011,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.25
396,2012,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.87
355,2013,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.52
314,2014,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.71
273,2015,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.69
232,2016,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.43
185,2017,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.41
135,2018,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.62
91,2019,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.55
50,2020,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.46
9,2021,MARKETING YEAR,ILLINOIS,17,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.4
1012,1997,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.53
971,1998,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.11
930,1999,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.88
889,2000,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.9
848,2001,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.98
807,2002,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.41
766,2003,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.53
725,2004,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.99
684,2005,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.0
643,2006,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.17
602,2007,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.39
561,2008,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.1
520,2009,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.66
479,2010,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.38
438,2011,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.31
397,2012,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.23
356,2013,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.47
315,2014,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.75
274,2015,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.92
233,2016,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.63
186,2017,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.56
136,2018,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.78
92,2019,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.84
51,2020,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.65
10,2021,MARKETING YEAR,INDIANA,18,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.45
1013,1997,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.33
972,1998,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.86
931,1999,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.72
890,2000,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.75
849,2001,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.9
808,2002,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.22
767,2003,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.37
726,2004,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.99
685,2005,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.94
644,2006,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.03
603,2007,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.29
562,2008,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.1
521,2009,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.59
480,2010,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.23
439,2011,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.2
398,2012,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.92
357,2013,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.49
316,2014,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.71
275,2015,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.52
234,2016,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.3
187,2017,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.31
137,2018,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.59
93,2019,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.5
52,2020,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.64
11,2021,MARKETING YEAR,IOWA,19,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.45
1014,1997,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.47
973,1998,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.96
932,1999,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.81
891,2000,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.0
850,2001,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.03
809,2002,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.48
768,2003,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.51
727,2004,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.12
686,2005,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.07
645,2006,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.08
604,2007,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.13
563,2008,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.12
522,2009,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.49
481,2010,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.95
440,2011,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.28
399,2012,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.04
358,2013,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.49
317,2014,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.78
276,2015,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.69
235,2016,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.2
188,2017,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.28
138,2018,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.58
94,2019,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.56
53,2020,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.35
12,2021,MARKETING YEAR,KANSAS,20,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.55
1015,1997,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.62
974,1998,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.17
933,1999,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.11
892,2000,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.07
851,2001,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.08
810,2002,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.58
769,2003,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.53
728,2004,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.24
687,2005,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.21
646,2006,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.18
605,2007,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.14
564,2008,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.36
523,2009,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.74
482,2010,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.15
441,2011,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.3
400,2012,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.96
359,2013,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.67
318,2014,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.94
277,2015,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.88
236,2016,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.74
189,2017,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.69
139,2018,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.84
95,2019,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.92
54,2020,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.52
13,2021,MARKETING YEAR,KENTUCKY,21,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.35
1016,1997,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.7
975,1998,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.05
934,1999,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.05
893,2000,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.75
852,2001,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.2
811,2002,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.4
770,2003,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.4
729,2004,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.45
688,2005,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.25
647,2006,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.8
606,2007,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.8
565,2008,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.45
524,2009,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.55
483,2010,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.9
442,2011,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.1
401,2012,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.9
360,2013,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.1
319,2014,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.15
278,2015,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.0
237,2016,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.7
190,2017,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.72
140,2018,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.86
96,2019,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.86
55,2020,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.74
14,2021,MARKETING YEAR,LOUISIANA,22,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.2
1017,1997,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.98
976,1998,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.33
935,1999,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.36
894,2000,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.01
853,2001,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.18
812,2002,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.85
771,2003,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.83
730,2004,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.17
689,2005,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.19
648,2006,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.41
607,2007,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.64
566,2008,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.42
525,2009,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.71
484,2010,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.05
443,2011,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.7
402,2012,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",7.3
361,2013,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.84
320,2014,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.79
279,2015,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.88
238,2016,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.05
192,2017,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.02
142,2018,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.11
97,2019,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.3
56,2020,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.6
15,2021,MARKETING YEAR,MARYLAND,24,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.95
1018,1997,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.4
977,1998,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.9
936,1999,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.78
895,2000,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.9
854,2001,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.97
813,2002,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.34
772,2003,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.37
731,2004,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.97
690,2005,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.88
649,2006,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.1
608,2007,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.37
567,2008,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.84
526,2009,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.53
485,2010,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.56
444,2011,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.14
403,2012,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.69
362,2013,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.18
321,2014,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.65
280,2015,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.63
239,2016,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.44
194,2017,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.46
144,2018,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.72
98,2019,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.73
57,2020,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.72
16,2021,MARKETING YEAR,MICHIGAN,26,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.35
1019,1997,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.15
978,1998,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.71
937,1999,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.6
896,2000,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.71
855,2001,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.9
814,2002,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.15
773,2003,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.35
732,2004,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.94
691,2005,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.86
650,2006,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.89
609,2007,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.13
568,2008,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.92
527,2009,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.47
486,2010,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.01
445,2011,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.09
404,2012,MARKETING YEAR,MINNESOTA,27,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.67
